page_num,student_id
SOSE 278,142773
SOSE 279,132877
SOSE 279,133058
SOSE 280,133076
SOSE 280,143036
SOSE 281,133182
SOSE 281,143179
SOSE 282,143277
SOSE 282,143750
SOSE 283,143965
SOSE 283,143979
SOSE 284,134077
SOSE 284,144019
SOSE 285,144071
SOSE 285,144097
SOSE 286,144150
SOSE 286,144153
SOSE 287,144316
SOSE 287,144406
SOSE 288,124357
SOSE 291,140036
SOSE 291,144768
SOSE 292,140911
SOSE 292,141066
SOSE 293,141805
SOSE 293,143169
SOSE 294,143875
SOSE 294,144154
SOSE 295,144377
SOSE 298,140998
SOSE 301,141085
SOSE 301,112004
SOSE 302,142732
SOSS 8,120185
SOSS 8,141493
SOSS 11,130520
SOSS 25,144865
SOSS 25,140047
SOSS 26,144844
SOSS 26,140096
SOSS 27,140107
SOSS 27,140121
SOSS 28,130125
SOSS 28,144635
SOSS 29,140191
SOSS 29,140231
SOSS 30,140310
SOSS 30,130307
SOSS 31,144520
SOSS 31,140335
SOSS 32,140410
SOSS 32,145195
SOSS 33,140501
SOSS 33,140526
SOSS 34,130559
SOSS 34,140562
SOSS 35,134603
SOSS 35,140588
SOSS 36,140613
SOSS 36,140691
SOSS 37,130766
SOSS 37,130789
SOSS 38,145048
SOSS 38,140811
SOSS 39,140978
SOSS 39,141006
SOSS 40,141056
SOSS 40,121127
SOSS 41,141178
SOSS 41,141191
SOSS 42,141235
SOSS 42,121243
SOSS 43,141274
SOSS 43,141287
SOSS 44,141334
SOSS 44,141342
SOSS 45,141344
SOSS 45,144903
SOSS 46,141485
SOSS 46,141521
SOSS 47,144908
SOSS 47,141559
SOSS 48,145076
SOSS 48,141585
SOSS 49,144852
SOSS 49,144911
SOSS 50,141630
SOSS 50,131687
SOSS 51,141687
SOSS 51,144664
SOSS 52,141736
SOSS 52,131804
SOSS 53,144554
SOSS 53,144668
SOSS 54,144920
SOSS 54,142028
SOSS 55,142032
SOSS 55,142066
SOSS 56,144797
SOSS 56,142238
SOSS 57,142262
SOSS 57,142291
SOSS 58,142311
SOSS 58,142320
SOSS 59,132367
SOSS 59,142383
SOSS 60,134672
SOSS 60,142489
SOSS 61,142527
